Fl Nr.;Personnummer;ET ab;SA;Betrag;SA ab
100001;100002;01.01.2025;900;324,57;01.01.2025
100001;100002;01.01.2025;911;76,15;01.01.2025
100001;100002;01.01.2025;900;406,96;01.01.2026
100001;100002;01.01.2025;911;76,15;01.01.2026
100002;100003;01.01.2025;900;173,48;01.01.2025
100002;100003;01.01.2025;911;36,4;01.01.2025
100002;100003;01.01.2025;900;202,96;01.01.2026
100002;100003;01.01.2025;911;36,4;01.01.2026
100101;100004;01.01.2025;900;251,91;01.01.2025
100101;100004;01.01.2025;911;77,87;01.01.2025
100101;100004;01.01.2025;900;321,16;01.01.2026
100101;100004;01.01.2025;911;77,87;01.01.2026
100102;100001;01.01.2025;900;203,31;01.01.2025
100102;100001;01.01.2025;911;37,06;01.01.2025
100102;100001;01.01.2025;900;223,75;01.01.2026
100102;100001;01.01.2025;911;37,06;01.01.2026
100201;100005;01.01.2025;900;307,54;01.01.2025
100201;100005;01.01.2025;911;77,87;01.01.2025
100201;100005;01.01.2025;900;373,32;01.01.2026
100201;100005;01.01.2025;911;77,87;01.01.2026
100202;100006;01.01.2025;900;194,33;01.01.2025
100202;100006;01.01.2025;911;37,06;01.01.2025
100202;100006;01.01.2025;900;231,57;01.01.2026
100202;100006;01.01.2025;911;37,06;01.01.2026
109901;100001;01.01.2025;900;313,68;01.01.2025
109901;100001;01.01.2025;911;59,16;01.01.2025
109901;100001;01.01.2025;900;377,77;01.01.2026
109901;100001;01.01.2025;911;59,16;01.01.2026
