kontonummer;kontoname;abrechnungsart;direktes_buchen;verteilerschluessel;kontoart;arge_konto;arge_kostenart
09911;Rücklagenbestandskonto;;nein;;standard;nein;
13600;DCL-Kreditor;;nein;;standard;nein;
13650;DCL-Debitor;;nein;;standard;nein;
13700;Ungeklärte Posten;;ja;;standard;nein;
14600;Bankübertrag / Geldtransit;;ja;;standard;nein;
16000;Kasse;;ja;;standard;nein;
18000;Bank 1;;nein;;standard;nein;
18911;Bank 2 Rücklage 1;;nein;;standard;nein;
19000;Aktive Rechnungsabgrenzung (Folgejahr);;ja;;standard;nein;
39000;Passive Rechnungsabgrenzung (Vorjahr);;ja;;standard;nein;
41900;Erlöse Hausgeld VZ;900;nein;;standard;nein;
41911;Erlöse Rücklage I;911;nein;;standard;nein;
41930;Erlöse Sonderumlage;930;nein;;standard;nein;
41940;Erlöse Mahngebühren;940;nein;;standard;nein;
41941;Erlöse Rücklastschriftgebühren;941;nein;;standard;nein;
41950;Erlöse Abrechnung VJ;950;nein;;standard;nein;
49500;Erlöse aus Hausgeldklagen;900;nein;;standard;nein;
49600;Sonstige Erlöse;900;nein;;standard;nein;
49700;Erlöse Versicherungsentschädigungen;900;nein;;standard;nein;
49911;Erlöse Entnahme IHR I;900;nein;;standard;nein;
50100;Hausmeister;900;nein;010;standard;nein;
50110;Hausreinigung;900;nein;010;standard;nein;
50120;Winterdienst;900;nein;010;standard;nein;
50130;Außenanlagen;900;nein;010;standard;nein;
50200;Straßenreinigung;900;nein;010;standard;nein;
50210;Niederschlagwasser;900;nein;010;standard;nein;
50230;Müllabfuhr;900;nein;010;standard;nein;
50240;Allgemeinstrom;900;nein;010;standard;nein;
50299;Heiz- und Wasserkosten nach Verbrauch;900;nein;010;summierung;nein;
50300;Wasser;900;nein;;unterkonto;ja;
50310;Abwasser;900;nein;;unterkonto;ja;
50320;Gas/Öl/Wärme;900;nein;;unterkonto;ja;
50330;Messdienst/Gerätemiete;900;nein;;unterkonto;ja;
50340;Heizungswartung;900;nein;;unterkonto;ja;
50350;Schornsteinfeger;900;nein;;unterkonto;ja;
50360;Heizungsstrom (aus Allgemeinstrom);900;nein;;unterkonto;ja;
50390;Feuerstättenbescheid;900;nein;010;standard;nein;
50400;Betriebskosten Aufzug;900;nein;010;standard;nein;
50500;Wartung;900;nein;010;standard;nein;
50510;Wartung Brandschutz;900;nein;010;standard;nein;
50520;Wartung Wasser/Abwasseranlage;900;nein;010;standard;nein;
50530;Wartung Rolltor TG;900;nein;010;standard;nein;
50540;Wartung Dach/Rinnenreinigung;900;nein;010;standard;nein;
50550;Wartung Parker;900;nein;010;standard;nein;
50560;Wartung Rauchwarnmelder;900;nein;010;standard;nein;
50590;Schädlingsbekämpfung;900;nein;010;standard;nein;
50600;Kabelempfang;900;nein;010;standard;nein;
50700;Versicherungen;900;nein;010;standard;nein;
50800;Legionellenprüfung;900;nein;010;standard;nein;
55100;Verwaltergebühr Wohnung;900;nein;031;standard;nein;
55110;Verwaltergebühr Stellplätze;900;nein;032;standard;nein;
55111;Nichtteilnahme am Lastschriftverfahren;900;nein;100;standard;nein;
55112;Aufwand HNDL;900;nein;030;standard;nein;
55113;Abrechenbare Auslagen der Verwaltung;900;nein;010;standard;nein;
55115;Raummiete;900;nein;010;standard;nein;
55200;Reparaturen;900;nein;010;standard;nein;
55210;Instandsetzung Außenanlagen;900;nein;010;standard;nein;
55290;Reparatur VS;900;nein;010;standard;nein;
55300;Reparaturen Aufzug;900;nein;010;standard;nein;
55350;Sanierung;900;nein;010;standard;nein;
55400;Rechtskosten;900;nein;010;standard;nein;
55410;Beratungskosten;900;nein;010;standard;nein;
55500;Bankgebühren;900;nein;010;standard;nein;
55900;Direktkosten Eigentümer;900;nein;101;standard;nein;
55905;Mahngebühren;900;nein;010;standard;nein;
57911;Rücklage I;911;nein;010;standard;nein;
90000;Saldenvorträge Sachkonten;;nein;;standard;nein;
90080;Saldenvorträge Debitoren;;nein;;standard;nein;
90090;Saldenvorträge Kreditoren;;nein;;standard;nein;
91000;JA Buchung Vortrag Sachkonten;;nein;;standard;nein;
