nr;kuerzel;bezeichnung;buchungstyp;aktiv;richtung
1;SAVO-SK;Saldenvortrag Sachkonten;sachkonto;WAHR;
2;SAVO-PK;Saldenvortrag Personenkonten;personenkonto;WAHR;
3;SAVO-KR;Saldenvortrag Kreditoren;kreditor;WAHR;
4;SAVO-BK;Saldenvortrag Bankkonten;sachkonto;WAHR;
10;HGV;Sollstellung Hausgeldvorauszahlung;personenkonto;WAHR;eingang
11;RLZ;Sollstellung Rücklagenzuführung;personenkonto;WAHR;eingang
12;SU;Sonderumlage;personenkonto;WAHR;eingang
13;NZJA;Nachzahlung aus Jahresabrechnung;personenkonto;WAHR;eingang
14;GJA;Guthaben aus Jahresabrechnung;personenkonto;WAHR;abgang
15;MIETE;Miete (ZH/SEV);;WAHR;
16;NKVZ;Nebenkostenvorauszahlung (ZH/SEV);;WAHR;
20;EING-P;Eingang Personenkonto (Zahlung);personenkonto;WAHR;eingang
21;AUSG-P;Ausgang Personenkonto (Erstattung);personenkonto;WAHR;abgang
22;UMB-P;Umbuchung Personenkonto;personenkonto;WAHR;
23;MAHNG;Mahngebühr;personenkonto;WAHR;eingang
24;VERZZ;Verzugszinsen (§ 288 BGB);personenkonto;WAHR;eingang
40;SACH-KTO;Sachkontenbuchung;sachkonto;WAHR;
41;SACH-AR;Sachkontenbuchung Aufwand (Rücklage);sachkonto;False;
42;SACH-E;Sachkontenbuchung Ertrag (Bewirtschaftung);sachkonto;False;
43;SACH-ER;Sachkontenbuchung Ertrag (Rücklage, Zinsen);sachkonto;False;
44;SACH-U;Sachkonten-Umbuchung (nicht abr.-relevant);sachkonto;False;
50;EING-K;Eingang Kreditor (Rechnungseingang);kreditor;WAHR;
51;AUSG-K;Ausgang Kreditor (Zahlung);kreditor;WAHR;
52;GS-K;Kreditoren-Gutschrift;kreditor;WAHR;
53;SKT-K;Skonto / Rabatt Kreditor;kreditor;WAHR;
80;ARAP-B;ARAP-Bildung;sachkonto;WAHR;
81;ARAP-A;ARAP-Auflösung;sachkonto;WAHR;
82;PRAP-B;PRAP-Bildung;sachkonto;WAHR;
83;PRAP-A;PRAP-Auflösung;sachkonto;WAHR;
90;JA-ABS;Jahresabschluss-Buchung;;WAHR;
91;RL-ENT;Rücklagenentwicklung (Jahresbuchung);;WAHR;
98;STO;Storno (spiegelt Original-BA);;WAHR;
99;KOR;Korrekturbuchung (spiegelt Original-BA);;WAHR;
900;HG;Hausgeld;;WAHR;
911;RL1;Rücklage I;;WAHR;
912;RL2;Rücklage II;;WAHR;
913;RL3;Rücklage III;;WAHR;
914;RL4;Rücklage IV;;WAHR;
915;RL5;Rücklage V;;WAHR;
916;RL6;Rücklage VI;;WAHR;
917;RL7;Rücklage VII;;WAHR;
918;RL8;Rücklage VIII;;WAHR;
930;SU;Sonderumlage;;WAHR;
940;MAH;Mahngebühren;;WAHR;
941;RLG;Rücklastschriftgebühren;;WAHR;
950;ABR;Abrechnung Vorjahr;;WAHR;
